protocolo,data_abertura,servico,latitude,longitude,status,criticidade,descricao,bairro
SYN010014,2025-12-06 23:42:28,Iluminação Pública,-22.973031,-43.18254,Aberto,Alta,Reclamação sintética em Copacabana Central - Iluminação Pública,Copacabana Central
SYN010015,2025-11-26 23:42:28,Trânsito e Transporte,-22.96717,-43.185641,Aberto,Média,Reclamação sintética em Copacabana Central - Trânsito e Transporte,Copacabana Central
SYN010016,2025-11-27 23:42:28,Iluminação Pública,-22.974383,-43.181165,Aberto,Alta,Reclamação sintética em Copacabana Central - Iluminação Pública,Copacabana Central
SYN010017,2025-11-21 23:42:28,Conservação de Vias,-22.970191,-43.17741,Aberto,Alta,Reclamação sintética em Copacabana Central - Conservação de Vias,Copacabana Central
SYN010018,2025-12-06 23:42:28,Conservação de Vias,-22.968669,-43.185559,Aberto,Média,Reclamação sintética em Copacabana Central - Conservação de Vias,Copacabana Central
SYN010019,2025-11-16 23:42:28,Segurança Pública,-22.972898,-43.180736,Aberto,Alta,Reclamação sintética em Copacabana Central - Segurança Pública,Copacabana Central
SYN010020,2025-12-10 23:42:28,Iluminação Pública,-22.972303,-43.181373,Aberto,Média,Reclamação sintética em Copacabana Central - Iluminação Pública,Copacabana Central
SYN010021,2025-12-07 23:42:28,Segurança Pública,-22.973061,-43.178317,Aberto,Média,Reclamação sintética em Copacabana Central - Segurança Pública,Copacabana Central
SYN010022,2025-12-14 23:42:28,Segurança Pública,-22.970839,-43.177459,Aberto,Média,Reclamação sintética em Copacabana Central - Segurança Pública,Copacabana Central
SYN010023,2025-11-29 23:42:28,Iluminação Pública,-22.970302,-43.18108,Aberto,Alta,Reclamação sintética em Copacabana Central - Iluminação Pública,Copacabana Central
SYN010024,2025-12-11 23:42:28,Segurança Pública,-22.973444,-43.180693,Aberto,Alta,Reclamação sintética em Copacabana Central - Segurança Pública,Copacabana Central
SYN010025,2025-11-20 23:42:28,Iluminação Pública,-22.976897,-43.179661,Aberto,Média,Reclamação sintética em Copacabana Central - Iluminação Pública,Copacabana Central
SYN010026,2025-12-05 23:42:28,Segurança Pública,-22.967707,-43.184357,Aberto,Alta,Reclamação sintética em Copacabana Central - Segurança Pública,Copacabana Central
SYN010027,2025-11-22 23:42:28,Segurança Pública,-22.969905,-43.180402,Aberto,Média,Reclamação sintética em Copacabana Central - Segurança Pública,Copacabana Central
SYN010028,2025-11-15 23:42:28,Iluminação Pública,-22.972884,-43.186873,Aberto,Média,Reclamação sintética em Copacabana Central - Iluminação Pública,Copacabana Central
SYN010029,2025-11-23 23:42:28,Iluminação Pública,-22.974935,-43.184455,Aberto,Média,Reclamação sintética em Copacabana Central - Iluminação Pública,Copacabana Central
SYN010030,2025-12-09 23:42:28,Segurança Pública,-22.96813,-43.183597,Aberto,Alta,Reclamação sintética em Copacabana Central - Segurança Pública,Copacabana Central
SYN010031,2025-12-04 23:42:28,Trânsito e Transporte,-22.971994,-43.181216,Aberto,Média,Reclamação sintética em Copacabana Central - Trânsito e Transporte,Copacabana Central
SYN010032,2025-11-28 23:42:28,Iluminação Pública,-22.972088,-43.180682,Aberto,Alta,Reclamação sintética em Copacabana Central - Iluminação Pública,Copacabana Central
SYN010033,2025-11-17 23:42:28,Conservação de Vias,-22.967677,-43.18496,Aberto,Alta,Reclamação sintética em Copacabana Central - Conservação de Vias,Copacabana Central
SYN010034,2025-12-08 23:42:28,Segurança Pública,-22.963581,-43.182883,Aberto,Média,Reclamação sintética em Copacabana Central - Segurança Pública,Copacabana Central
SYN010035,2025-11-22 23:42:28,Conservação de Vias,-22.970262,-43.18016,Aberto,Alta,Reclamação sintética em Copacabana Central - Conservação de Vias,Copacabana Central
SYN010036,2025-11-16 23:42:28,Segurança Pública,-22.969642,-43.180629,Aberto,Média,Reclamação sintética em Copacabana Central - Segurança Pública,Copacabana Central
SYN010037,2025-12-13 23:42:28,Segurança Pública,-22.973471,-43.185046,Aberto,Alta,Reclamação sintética em Copacabana Central - Segurança Pública,Copacabana Central
SYN010038,2025-11-26 23:42:28,Conservação de Vias,-22.970031,-43.187591,Aberto,Alta,Reclamação sintética em Copacabana Central - Conservação de Vias,Copacabana Central
SYN010039,2025-11-27 23:42:28,Iluminação Pública,-22.969203,-43.181077,Aberto,Alta,Reclamação sintética em Copacabana Central - Iluminação Pública,Copacabana Central
SYN010040,2025-11-25 23:42:28,Conservação de Vias,-22.965796,-43.183781,Aberto,Alta,Reclamação sintética em Copacabana Central - Conservação de Vias,Copacabana Central
SYN010041,2025-11-22 23:42:28,Conservação de Vias,-22.969587,-43.185231,Aberto,Média,Reclamação sintética em Copacabana Central - Conservação de Vias,Copacabana Central
SYN010042,2025-12-14 23:42:28,Conservação de Vias,-22.971064,-43.180231,Aberto,Média,Reclamação sintética em Copacabana Central - Conservação de Vias,Copacabana Central
SYN010043,2025-11-26 23:42:28,Trânsito e Transporte,-22.97204,-43.177774,Aberto,Média,Reclamação sintética em Copacabana Central - Trânsito e Transporte,Copacabana Central
SYN010044,2025-11-21 23:42:28,Segurança Pública,-22.973857,-43.189145,Aberto,Alta,Reclamação sintética em Copacabana Central - Segurança Pública,Copacabana Central
SYN010045,2025-11-28 23:42:28,Iluminação Pública,-22.969702,-43.179987,Aberto,Média,Reclamação sintética em Copacabana Central - Iluminação Pública,Copacabana Central
SYN010046,2025-12-07 23:42:28,Segurança Pública,-22.966765,-43.179835,Aberto,Média,Reclamação sintética em Copacabana Central - Segurança Pública,Copacabana Central
SYN010047,2025-11-27 23:42:28,Segurança Pública,-22.971006,-43.181957,Aberto,Média,Reclamação sintética em Copacabana Central - Segurança Pública,Copacabana Central
SYN010048,2025-11-30 23:42:28,Segurança Pública,-22.968291,-43.184799,Aberto,Alta,Reclamação sintética em Copacabana Central - Segurança Pública,Copacabana Central
SYN010049,2025-12-03 23:42:28,Trânsito e Transporte,-22.974723,-43.186051,Aberto,Alta,Reclamação sintética em Copacabana Central - Trânsito e Transporte,Copacabana Central
SYN010050,2025-11-21 23:42:28,Conservação de Vias,-22.90944,-43.179037,Aberto,Alta,Reclamação sintética em Centro - Saara - Conservação de Vias,Centro - Saara
SYN010051,2025-12-02 23:42:28,Segurança Pública,-22.903096,-43.176754,Aberto,Média,Reclamação sintética em Centro - Saara - Segurança Pública,Centro - Saara
SYN010052,2025-11-22 23:42:28,Iluminação Pública,-22.899371,-43.184334,Aberto,Alta,Reclamação sintética em Centro - Saara - Iluminação Pública,Centro - Saara
SYN010053,2025-11-25 23:42:28,Iluminação Pública,-22.899882,-43.18132,Aberto,Média,Reclamação sintética em Centro - Saara - Iluminação Pública,Centro - Saara
SYN010054,2025-12-06 23:42:28,Iluminação Pública,-22.900618,-43.17865,Aberto,Alta,Reclamação sintética em Centro - Saara - Iluminação Pública,Centro - Saara
SYN010055,2025-12-08 23:42:28,Segurança Pública,-22.910787,-43.175069,Aberto,Média,Reclamação sintética em Centro - Saara - Segurança Pública,Centro - Saara
SYN010056,2025-11-20 23:42:28,Segurança Pública,-22.901606,-43.178507,Aberto,Média,Reclamação sintética em Centro - Saara - Segurança Pública,Centro - Saara
SYN010057,2025-11-18 23:42:28,Iluminação Pública,-22.900398,-43.181128,Aberto,Média,Reclamação sintética em Centro - Saara - Iluminação Pública,Centro - Saara
SYN010058,2025-11-21 23:42:28,Iluminação Pública,-22.898213,-43.189178,Aberto,Média,Reclamação sintética em Centro - Saara - Iluminação Pública,Centro - Saara
SYN010059,2025-11-26 23:42:28,Segurança Pública,-22.900807,-43.177347,Aberto,Média,Reclamação sintética em Centro - Saara - Segurança Pública,Centro - Saara
SYN010060,2025-12-08 23:42:28,Segurança Pública,-22.901393,-43.176357,Aberto,Média,Reclamação sintética em Centro - Saara - Segurança Pública,Centro - Saara
SYN010061,2025-11-19 23:42:28,Trânsito e Transporte,-22.903923,-43.179149,Aberto,Alta,Reclamação sintética em Centro - Saara - Trânsito e Transporte,Centro - Saara
SYN010062,2025-11-16 23:42:28,Conservação de Vias,-22.900036,-43.179505,Aberto,Alta,Reclamação sintética em Centro - Saara - Conservação de Vias,Centro - Saara
SYN010063,2025-11-23 23:42:28,Iluminação Pública,-22.901959,-43.180343,Aberto,Alta,Reclamação sintética em Centro - Saara - Iluminação Pública,Centro - Saara
SYN010064,2025-11-17 23:42:28,Conservação de Vias,-22.903505,-43.182432,Aberto,Alta,Reclamação sintética em Centro - Saara - Conservação de Vias,Centro - Saara
SYN010065,2025-11-27 23:42:28,Trânsito e Transporte,-22.908646,-43.183456,Aberto,Alta,Reclamação sintética em Centro - Saara - Trânsito e Transporte,Centro - Saara
SYN010066,2025-12-12 23:42:28,Segurança Pública,-22.907017,-43.177055,Aberto,Alta,Reclamação sintética em Centro - Saara - Segurança Pública,Centro - Saara
SYN010067,2025-12-06 23:42:28,Segurança Pública,-22.90179,-43.184543,Aberto,Alta,Reclamação sintética em Centro - Saara - Segurança Pública,Centro - Saara
SYN010068,2025-12-10 23:42:28,Conservação de Vias,-22.90634,-43.183911,Aberto,Alta,Reclamação sintética em Centro - Saara - Conservação de Vias,Centro - Saara
SYN010069,2025-12-02 23:42:28,Trânsito e Transporte,-22.898917,-43.179367,Aberto,Alta,Reclamação sintética em Centro - Saara - Trânsito e Transporte,Centro - Saara
SYN010070,2025-11-27 23:42:28,Iluminação Pública,-22.906127,-43.181094,Aberto,Média,Reclamação sintética em Centro - Saara - Iluminação Pública,Centro - Saara
SYN010071,2025-12-04 23:42:28,Trânsito e Transporte,-22.903432,-43.181223,Aberto,Média,Reclamação sintética em Centro - Saara - Trânsito e Transporte,Centro - Saara
SYN010072,2025-11-24 23:42:28,Segurança Pública,-22.898151,-43.178345,Aberto,Alta,Reclamação sintética em Centro - Saara - Segurança Pública,Centro - Saara
SYN010073,2025-12-06 23:42:28,Conservação de Vias,-22.905631,-43.178614,Aberto,Alta,Reclamação sintética em Centro - Saara - Conservação de Vias,Centro - Saara
SYN010074,2025-11-30 23:42:28,Trânsito e Transporte,-22.898891,-43.187247,Aberto,Alta,Reclamação sintética em Centro - Saara - Trânsito e Transporte,Centro - Saara
SYN010075,2025-11-28 23:42:28,Iluminação Pública,-22.904244,-43.182792,Aberto,Alta,Reclamação sintética em Centro - Saara - Iluminação Pública,Centro - Saara
SYN010076,2025-11-30 23:42:28,Conservação de Vias,-22.902669,-43.176603,Aberto,Alta,Reclamação sintética em Centro - Saara - Conservação de Vias,Centro - Saara
SYN010077,2025-11-16 23:42:28,Conservação de Vias,-22.905181,-43.182236,Aberto,Alta,Reclamação sintética em Centro - Saara - Conservação de Vias,Centro - Saara
SYN010078,2025-11-17 23:42:28,Trânsito e Transporte,-22.902684,-43.180457,Aberto,Alta,Reclamação sintética em Centro - Saara - Trânsito e Transporte,Centro - Saara
SYN010079,2025-11-27 23:42:28,Segurança Pública,-22.901588,-43.18259,Aberto,Média,Reclamação sintética em Centro - Saara - Segurança Pública,Centro - Saara
SYN010080,2025-12-09 23:42:28,Segurança Pública,-22.900611,-43.183768,Aberto,Alta,Reclamação sintética em Centro - Saara - Segurança Pública,Centro - Saara
SYN010081,2025-11-27 23:42:28,Iluminação Pública,-22.903086,-43.174741,Aberto,Média,Reclamação sintética em Centro - Saara - Iluminação Pública,Centro - Saara
SYN010082,2025-11-26 23:42:28,Segurança Pública,-22.904138,-43.178309,Aberto,Alta,Reclamação sintética em Centro - Saara - Segurança Pública,Centro - Saara
SYN010083,2025-12-04 23:42:28,Segurança Pública,-22.907149,-43.178319,Aberto,Média,Reclamação sintética em Centro - Saara - Segurança Pública,Centro - Saara
SYN010084,2025-11-21 23:42:28,Segurança Pública,-22.901813,-43.180109,Aberto,Alta,Reclamação sintética em Centro - Saara - Segurança Pública,Centro - Saara
SYN010085,2025-12-07 23:42:28,Segurança Pública,-22.902414,-43.181216,Aberto,Média,Reclamação sintética em Centro - Saara - Segurança Pública,Centro - Saara
SYN010086,2025-11-17 23:42:28,Conservação de Vias,-22.903353,-43.18107,Aberto,Alta,Reclamação sintética em Centro - Saara - Conservação de Vias,Centro - Saara
SYN010087,2025-12-04 23:42:28,Conservação de Vias,-22.902864,-43.181331,Aberto,Alta,Reclamação sintética em Centro - Saara - Conservação de Vias,Centro - Saara
SYN010088,2025-11-15 23:42:28,Conservação de Vias,-22.9044,-43.185059,Aberto,Alta,Reclamação sintética em Centro - Saara - Conservação de Vias,Centro - Saara
SYN010089,2025-11-19 23:42:28,Segurança Pública,-22.90296,-43.182125,Aberto,Média,Reclamação sintética em Centro - Saara - Segurança Pública,Centro - Saara
SYN010090,2025-12-06 23:42:28,Iluminação Pública,-22.902738,-43.183415,Aberto,Média,Reclamação sintética em Centro - Saara - Iluminação Pública,Centro - Saara
SYN010091,2025-12-14 23:42:28,Conservação de Vias,-22.906883,-43.178604,Aberto,Alta,Reclamação sintética em Centro - Saara - Conservação de Vias,Centro - Saara
SYN010092,2025-11-18 23:42:28,Segurança Pública,-22.899655,-43.180848,Aberto,Alta,Reclamação sintética em Centro - Saara - Segurança Pública,Centro - Saara
SYN010093,2025-11-17 23:42:28,Iluminação Pública,-22.89986,-43.177749,Aberto,Média,Reclamação sintética em Centro - Saara - Iluminação Pública,Centro - Saara
SYN010094,2025-11-23 23:42:28,Segurança Pública,-22.903822,-43.18296,Aberto,Alta,Reclamação sintética em Centro - Saara - Segurança Pública,Centro - Saara
SYN010095,2025-11-23 23:42:28,Conservação de Vias,-23.01536,-43.360019,Aberto,Alta,Reclamação sintética em Barra da Tijuca - Shopping - Conservação de Vias,Barra da Tijuca - Shopping
SYN010096,2025-11-18 23:42:28,Conservação de Vias,-23.017184,-43.360887,Aberto,Média,Reclamação sintética em Barra da Tijuca - Shopping - Conservação de Vias,Barra da Tijuca - Shopping
SYN010097,2025-11-27 23:42:28,Segurança Pública,-23.016465,-43.357613,Aberto,Média,Reclamação sintética em Barra da Tijuca - Shopping - Segurança Pública,Barra da Tijuca - Shopping
SYN010098,2025-11-17 23:42:28,Iluminação Pública,-23.01883,-43.360746,Aberto,Média,Reclamação sintética em Barra da Tijuca - Shopping - Iluminação Pública,Barra da Tijuca - Shopping
SYN010099,2025-12-05 23:42:28,Segurança Pública,-23.014135,-43.363632,Aberto,Alta,Reclamação sintética em Barra da Tijuca - Shopping - Segurança Pública,Barra da Tijuca - Shopping
SYN010100,2025-11-26 23:42:28,Iluminação Pública,-23.017083,-43.354719,Aberto,Média,Reclamação sintética em Barra da Tijuca - Shopping - Iluminação Pública,Barra da Tijuca - Shopping
SYN010101,2025-11-21 23:42:28,Conservação de Vias,-23.019995,-43.359362,Aberto,Alta,Reclamação sintética em Barra da Tijuca - Shopping - Conservação de Vias,Barra da Tijuca - Shopping
SYN010102,2025-11-22 23:42:28,Segurança Pública,-23.017524,-43.360878,Aberto,Alta,Reclamação sintética em Barra da Tijuca - Shopping - Segurança Pública,Barra da Tijuca - Shopping
SYN010103,2025-12-05 23:42:28,Iluminação Pública,-23.01601,-43.359954,Aberto,Alta,Reclamação sintética em Barra da Tijuca - Shopping - Iluminação Pública,Barra da Tijuca - Shopping
SYN010104,2025-11-16 23:42:28,Iluminação Pública,-23.018583,-43.358112,Aberto,Média,Reclamação sintética em Barra da Tijuca - Shopping - Iluminação Pública,Barra da Tijuca - Shopping
SYN010105,2025-12-13 23:42:28,Iluminação Pública,-23.015373,-43.362681,Aberto,Alta,Reclamação sintética em Barra da Tijuca - Shopping - Iluminação Pública,Barra da Tijuca - Shopping
SYN010106,2025-12-08 23:42:28,Iluminação Pública,-23.013686,-43.363069,Aberto,Média,Reclamação sintética em Barra da Tijuca - Shopping - Iluminação Pública,Barra da Tijuca - Shopping
SYN010107,2025-12-04 23:42:28,Iluminação Pública,-23.017107,-43.361332,Aberto,Média,Reclamação sintética em Barra da Tijuca - Shopping - Iluminação Pública,Barra da Tijuca - Shopping
SYN010108,2025-12-10 23:42:28,Conservação de Vias,-23.016455,-43.357535,Aberto,Alta,Reclamação sintética em Barra da Tijuca - Shopping - Conservação de Vias,Barra da Tijuca - Shopping
SYN010109,2025-12-01 23:42:28,Segurança Pública,-23.016681,-43.360425,Aberto,Média,Reclamação sintética em Barra da Tijuca - Shopping - Segurança Pública,Barra da Tijuca - Shopping
SYN010110,2025-12-13 23:42:28,Segurança Pública,-23.015059,-43.360695,Aberto,Média,Reclamação sintética em Barra da Tijuca - Shopping - Segurança Pública,Barra da Tijuca - Shopping
SYN010111,2025-12-09 23:42:28,Conservação de Vias,-23.016744,-43.357843,Aberto,Alta,Reclamação sintética em Barra da Tijuca - Shopping - Conservação de Vias,Barra da Tijuca - Shopping
SYN010112,2025-12-04 23:42:28,Conservação de Vias,-23.018313,-43.356211,Aberto,Média,Reclamação sintética em Barra da Tijuca - Shopping - Conservação de Vias,Barra da Tijuca - Shopping
SYN010113,2025-11-18 23:42:28,Conservação de Vias,-23.018555,-43.357514,Aberto,Alta,Reclamação sintética em Barra da Tijuca - Shopping - Conservação de Vias,Barra da Tijuca - Shopping
SYN010114,2025-11-26 23:42:28,Conservação de Vias,-23.01448,-43.356675,Aberto,Média,Reclamação sintética em Barra da Tijuca - Shopping - Conservação de Vias,Barra da Tijuca - Shopping
SYN010115,2025-12-05 23:42:28,Segurança Pública,-23.019958,-43.3578,Aberto,Alta,Reclamação sintética em Barra da Tijuca - Shopping - Segurança Pública,Barra da Tijuca - Shopping
SYN010116,2025-12-12 23:42:28,Segurança Pública,-23.017185,-43.360852,Aberto,Alta,Reclamação sintética em Barra da Tijuca - Shopping - Segurança Pública,Barra da Tijuca - Shopping
SYN010117,2025-11-21 23:42:28,Trânsito e Transporte,-23.018794,-43.362342,Aberto,Alta,Reclamação sintética em Barra da Tijuca - Shopping - Trânsito e Transporte,Barra da Tijuca - Shopping
SYN010118,2025-11-30 23:42:28,Iluminação Pública,-23.01488,-43.36343,Aberto,Alta,Reclamação sintética em Barra da Tijuca - Shopping - Iluminação Pública,Barra da Tijuca - Shopping
SYN010119,2025-11-15 23:42:28,Conservação de Vias,-23.015004,-43.357334,Aberto,Alta,Reclamação sintética em Barra da Tijuca - Shopping - Conservação de Vias,Barra da Tijuca - Shopping
SYN010120,2025-12-03 23:42:28,Iluminação Pública,-23.016403,-43.360324,Aberto,Alta,Reclamação sintética em Barra da Tijuca - Shopping - Iluminação Pública,Barra da Tijuca - Shopping
SYN010121,2025-11-27 23:42:28,Conservação de Vias,-23.019951,-43.360502,Aberto,Média,Reclamação sintética em Barra da Tijuca - Shopping - Conservação de Vias,Barra da Tijuca - Shopping
SYN010122,2025-12-12 23:42:28,Segurança Pública,-23.017016,-43.361343,Aberto,Alta,Reclamação sintética em Barra da Tijuca - Shopping - Segurança Pública,Barra da Tijuca - Shopping
SYN010123,2025-11-24 23:42:28,Conservação de Vias,-23.013486,-43.363634,Aberto,Média,Reclamação sintética em Barra da Tijuca - Shopping - Conservação de Vias,Barra da Tijuca - Shopping
SYN010124,2025-12-07 23:42:28,Conservação de Vias,-23.01261,-43.36737,Aberto,Alta,Reclamação sintética em Barra da Tijuca - Shopping - Conservação de Vias,Barra da Tijuca - Shopping
SYN010125,2025-12-06 23:42:28,Trânsito e Transporte,-23.015675,-43.360805,Aberto,Média,Reclamação sintética em Barra da Tijuca - Shopping - Trânsito e Transporte,Barra da Tijuca - Shopping
SYN010126,2025-12-08 23:42:28,Segurança Pública,-23.011413,-43.355662,Aberto,Alta,Reclamação sintética em Barra da Tijuca - Shopping - Segurança Pública,Barra da Tijuca - Shopping
SYN010127,2025-12-03 23:42:28,Segurança Pública,-23.010528,-43.358055,Aberto,Média,Reclamação sintética em Barra da Tijuca - Shopping - Segurança Pública,Barra da Tijuca - Shopping
SYN010128,2025-11-30 23:42:28,Iluminação Pública,-23.016517,-43.360593,Aberto,Alta,Reclamação sintética em Barra da Tijuca - Shopping - Iluminação Pública,Barra da Tijuca - Shopping
SYN010129,2025-11-29 23:42:28,Conservação de Vias,-23.016333,-43.360773,Aberto,Alta,Reclamação sintética em Barra da Tijuca - Shopping - Conservação de Vias,Barra da Tijuca - Shopping
SYN010130,2025-12-13 23:42:28,Iluminação Pública,-23.010554,-43.366016,Aberto,Média,Reclamação sintética em Barra da Tijuca - Shopping - Iluminação Pública,Barra da Tijuca - Shopping
SYN010131,2025-12-08 23:42:28,Segurança Pública,-23.012271,-43.367102,Aberto,Alta,Reclamação sintética em Barra da Tijuca - Shopping - Segurança Pública,Barra da Tijuca - Shopping
SYN010132,2025-11-20 23:42:28,Segurança Pública,-23.017276,-43.357064,Aberto,Alta,Reclamação sintética em Barra da Tijuca - Shopping - Segurança Pública,Barra da Tijuca - Shopping
SYN010133,2025-12-04 23:42:28,Segurança Pública,-23.014442,-43.355202,Aberto,Média,Reclamação sintética em Barra da Tijuca - Shopping - Segurança Pública,Barra da Tijuca - Shopping
SYN010134,2025-11-30 23:42:28,Iluminação Pública,-23.014681,-43.360428,Aberto,Média,Reclamação sintética em Barra da Tijuca - Shopping - Iluminação Pública,Barra da Tijuca - Shopping
SYN010135,2025-11-29 23:42:28,Conservação de Vias,-22.939443,-43.195298,Aberto,Média,Reclamação sintética em Botafogo - Praia - Conservação de Vias,Botafogo - Praia
SYN010136,2025-11-15 23:42:28,Segurança Pública,-22.945607,-43.192318,Aberto,Média,Reclamação sintética em Botafogo - Praia - Segurança Pública,Botafogo - Praia
SYN010137,2025-11-30 23:42:28,Segurança Pública,-22.946063,-43.189712,Aberto,Alta,Reclamação sintética em Botafogo - Praia - Segurança Pública,Botafogo - Praia
SYN010138,2025-11-15 23:42:28,Segurança Pública,-22.94823,-43.193474,Aberto,Alta,Reclamação sintética em Botafogo - Praia - Segurança Pública,Botafogo - Praia
SYN010139,2025-11-23 23:42:28,Iluminação Pública,-22.946642,-43.195291,Aberto,Alta,Reclamação sintética em Botafogo - Praia - Iluminação Pública,Botafogo - Praia
SYN010140,2025-12-13 23:42:28,Segurança Pública,-22.944584,-43.194298,Aberto,Alta,Reclamação sintética em Botafogo - Praia - Segurança Pública,Botafogo - Praia
SYN010141,2025-11-19 23:42:28,Iluminação Pública,-22.945135,-43.197402,Aberto,Alta,Reclamação sintética em Botafogo - Praia - Iluminação Pública,Botafogo - Praia
SYN010142,2025-11-22 23:42:28,Iluminação Pública,-22.945764,-43.19789,Aberto,Média,Reclamação sintética em Botafogo - Praia - Iluminação Pública,Botafogo - Praia
SYN010143,2025-12-04 23:42:28,Iluminação Pública,-22.941853,-43.190377,Aberto,Alta,Reclamação sintética em Botafogo - Praia - Iluminação Pública,Botafogo - Praia
SYN010144,2025-11-28 23:42:28,Iluminação Pública,-22.942904,-43.191353,Aberto,Média,Reclamação sintética em Botafogo - Praia - Iluminação Pública,Botafogo - Praia
SYN010145,2025-12-11 23:42:28,Conservação de Vias,-22.949315,-43.194814,Aberto,Alta,Reclamação sintética em Botafogo - Praia - Conservação de Vias,Botafogo - Praia
SYN010146,2025-11-18 23:42:28,Segurança Pública,-22.944337,-43.193346,Aberto,Média,Reclamação sintética em Botafogo - Praia - Segurança Pública,Botafogo - Praia
SYN010147,2025-11-22 23:42:28,Conservação de Vias,-22.94347,-43.192803,Aberto,Alta,Reclamação sintética em Botafogo - Praia - Conservação de Vias,Botafogo - Praia
SYN010148,2025-11-19 23:42:28,Iluminação Pública,-22.942587,-43.196917,Aberto,Alta,Reclamação sintética em Botafogo - Praia - Iluminação Pública,Botafogo - Praia
SYN010149,2025-12-07 23:42:28,Segurança Pública,-22.940736,-43.195104,Aberto,Alta,Reclamação sintética em Botafogo - Praia - Segurança Pública,Botafogo - Praia
SYN010150,2025-12-03 23:42:28,Iluminação Pública,-22.948151,-43.191534,Aberto,Média,Reclamação sintética em Botafogo - Praia - Iluminação Pública,Botafogo - Praia
SYN010151,2025-11-21 23:42:28,Segurança Pública,-22.947146,-43.194497,Aberto,Média,Reclamação sintética em Botafogo - Praia - Segurança Pública,Botafogo - Praia
SYN010152,2025-12-10 23:42:28,Segurança Pública,-22.94317,-43.193099,Aberto,Média,Reclamação sintética em Botafogo - Praia - Segurança Pública,Botafogo - Praia
SYN010153,2025-12-09 23:42:28,Conservação de Vias,-22.944985,-43.201392,Aberto,Média,Reclamação sintética em Botafogo - Praia - Conservação de Vias,Botafogo - Praia
SYN010154,2025-11-26 23:42:28,Trânsito e Transporte,-22.947349,-43.1993,Aberto,Média,Reclamação sintética em Botafogo - Praia - Trânsito e Transporte,Botafogo - Praia
SYN010155,2025-12-10 23:42:28,Segurança Pública,-22.946842,-43.192807,Aberto,Alta,Reclamação sintética em Botafogo - Praia - Segurança Pública,Botafogo - Praia
SYN010156,2025-11-25 23:42:28,Conservação de Vias,-22.942091,-43.195988,Aberto,Média,Reclamação sintética em Botafogo - Praia - Conservação de Vias,Botafogo - Praia
SYN010157,2025-12-10 23:42:28,Trânsito e Transporte,-22.952147,-43.192266,Aberto,Alta,Reclamação sintética em Botafogo - Praia - Trânsito e Transporte,Botafogo - Praia
SYN010158,2025-11-20 23:42:28,Iluminação Pública,-22.941726,-43.19417,Aberto,Alta,Reclamação sintética em Botafogo - Praia - Iluminação Pública,Botafogo - Praia
SYN010159,2025-11-15 23:42:28,Iluminação Pública,-22.944831,-43.194527,Aberto,Média,Reclamação sintética em Botafogo - Praia - Iluminação Pública,Botafogo - Praia
SYN010160,2025-11-16 23:42:28,Conservação de Vias,-22.946309,-43.200329,Aberto,Média,Reclamação sintética em Botafogo - Praia - Conservação de Vias,Botafogo - Praia
